End,Sub
Abstraction,Problem Solving
Design,Problem Solving
Ethics,ICT Professional Knowledge
Professional expectations,ICT Professional Knowledge
Teamwork concepts and issues,ICT Professional Knowledge
Interpersonal communications,ICT Professional Knowledge
Societal issues / legal issues / privacy,ICT Professional Knowledge
Understanding the ICT profession,ICT Professional Knowledge
Hardware & software fundamentals,Technology Resource
Data & information management,Technology Resource
Networking,Technology Resource
Programming,Technology Building
Human factors,Technology Building
Systems development,Technology Building
Systems acquisition,Technology Building
IT governance & organisational issues,ICT Management
IT project management,ICT Management
Service management,ICT Management
Cyber security,ICT Management
