unitCode,courseCode,role
CITS1001,62510,Conversion
CITS1003,62510,Conversion
CITS1401,62510,Conversion
CITS1402,62510,Conversion
CITS4009,62510,Option
CITS4401,62510,Core
CITS4403,62510,Option
CITS4404,62510,Option
CITS4407,62510,Core
CITS5206,62510,Core
CITS5501,62510,Core
CITS5503,62510,Core
CITS5504,62510,Option
CITS5505,62510,Core
CITS5506,62510,Core
CITS5507,62510,Option
CITS5508,62510,Option
ENVT4411,62510,Option
GENG5505,62510,Core
GENG5507,62510,Option
GENG5508,62510,Option
INMT5518,62510,Option
INMT5526,62510,Option
MGMT5504,62510,Option
